Age,Workclass,Education_Num,Marital-status,Occupation,Relationship,Hours/week,Native_Country,Result,Sex_Race
15,2,10,5,10,4,23,36,0,9
65,2,10,5,12,4,36,36,0,9
18,2,10,2,7,3,25,36,0,9
60,2,6,2,2,3,36,36,1,9
17,2,8,5,2,4,28,36,0,9
28,2,8,-1,2,4,55,36,0,4
44,4,15,8,9,5,36,36,1,4
9,2,6,5,6,4,20,36,1,9
25,2,8,5,7,4,36,36,0,9
48,2,10,2,10,3,36,36,0,2
25,2,13,5,2,4,49,36,1,9
27,4,13,2,8,3,36,36,0,9
9,2,8,5,7,4,18,36,0,9
39,2,4,2,6,3,36,31,0,9
36,0,10,2,-2,3,43,36,0,4
22,2,10,2,6,3,36,36,0,9
39,0,13,2,12,3,25,36,0,9
35,2,10,-1,2,4,36,36,0,9
22,3,8,5,10,4,36,36,0,4
51,3,4,2,6,3,36,36,1,4
37,2,13,2,10,3,49,31,0,4
30,2,10,2,6,3,36,36,1,9
23,2,10,5,-2,4,43,36,0,9
27,2,16,5,8,4,52,36,0,9
39,2,13,2,4,3,49,30,0,9
20,2,8,5,13,4,36,36,0,4
22,4,12,2,9,3,49,36,0,2
54,2,8,2,-2,3,46,36,1,9
54,2,10,5,13,4,23,36,0,9
43,2,8,2,10,3,55,36,1,9
60,2,8,2,4,3,36,36,1,9
57,2,8,2,4,3,36,36,0,4
7,2,5,5,7,4,25,36,0,7
25,0,15,5,8,4,28,36,1,9
39,2,16,2,8,3,55,36,0,4
47,2,4,2,2,3,36,29,0,4
35,2,13,2,8,3,46,36,0,9
28,0,13,5,9,4,52,36,1,9
61,2,8,2,13,3,20,36,0,9
22,2,8,5,2,4,36,36,0,4
37,2,8,-1,10,4,63,36,0,9
46,2,13,2,-2,3,36,36,0,9
30,2,8,2,13,3,46,36,1,9
39,3,10,2,5,3,51,36,1,9
24,2,13,5,10,4,36,36,0,4
38,3,8,2,4,3,36,36,0,9
41,2,10,2,2,3,49,36,0,9
67,3,15,2,2,3,17,36,1,7
54,3,8,2,6,3,36,36,0,9
52,0,5,2,-2,3,36,36,0,9
50,2,8,2,13,3,36,36,0,4
7,2,3,5,7,4,47,31,0,9
46,2,15,5,8,4,55,36,0,7
24,2,12,5,10,4,36,36,1,9
35,4,8,2,9,3,36,36,0,7
24,2,8,2,7,3,36,36,1,4
39,2,11,2,12,3,36,36,0,4
41,2,13,2,13,3,46,36,1,9
27,2,8,2,2,3,36,36,0,9
52,3,10,2,10,3,46,36,0,4
7,2,6,5,7,4,17,36,0,4
39,4,11,2,6,3,29,36,0,9
28,2,8,7,6,4,36,36,0,2
42,2,10,2,12,3,36,36,1,9
49,3,13,2,4,3,49,36,0,9
15,2,10,5,6,4,36,36,0,4
39,2,15,2,4,3,58,36,0,9
27,2,8,2,-2,3,36,36,1,6
44,3,8,2,2,3,25,36,0,9
31,2,10,2,4,3,49,36,0,4
34,2,6,-1,2,4,49,36,0,9
49,2,3,2,6,3,36,31,1,4
7,2,6,5,6,4,21,36,0,9
23,2,8,2,13,3,55,36,0,2
32,2,15,2,8,3,49,36,0,9
25,2,5,5,2,4,36,31,0,4
15,2,8,2,6,3,36,36,0,9
43,3,10,2,2,3,52,36,0,4
56,2,8,2,2,3,36,36,0,4
20,2,8,2,13,3,55,36,0,1
31,2,13,2,8,3,49,36,0,9
49,2,8,-1,13,5,36,36,0,9
37,2,10,2,13,3,36,36,0,9
46,2,15,2,4,3,46,36,0,7
34,2,8,5,2,4,36,36,0,9
7,2,5,5,7,4,17,36,0,7
27,4,13,5,8,4,23,36,0,4
44,0,8,-1,-2,4,36,36,0,1
32,2,13,5,2,4,23,36,0,1
15,2,10,5,6,4,36,36,1,9
20,2,3,5,7,4,36,29,0,4
58,0,8,2,13,3,36,36,0,9
49,2,10,2,-2,3,36,36,0,9
41,2,10,2,4,3,36,36,0,9
46,2,11,4,6,5,43,36,0,4
33,2,10,2,8,3,49,36,0,9
33,2,13,2,8,3,49,36,0,9
37,3,13,2,4,3,63,36,1,9
47,2,8,2,4,3,49,36,0,9
42,2,10,-1,6,5,52,36,1,9
40,2,13,2,4,3,36,36,0,4
42,3,15,2,8,3,36,36,0,7
63,2,16,2,8,3,47,36,0,7
38,0,6,2,12,3,49,36,0,9
28,2,11,7,2,4,36,36,0,9
25,2,8,5,13,4,36,36,1,7
25,2,10,2,10,3,49,36,0,4
44,3,10,-1,4,4,49,36,1,9
34,2,8,2,6,3,36,36,1,9
29,2,6,2,7,3,36,31,0,4
51,2,13,2,10,3,28,36,1,9
45,2,10,2,8,3,49,36,0,2
41,3,15,2,4,3,46,36,0,9
45,2,15,-1,4,5,43,36,0,7
22,2,8,5,2,4,36,36,0,9
48,2,8,2,8,3,36,36,0,9
7,2,6,5,10,4,18,36,0,9
36,2,11,2,2,3,36,36,1,4
28,2,13,2,4,5,36,36,1,9
55,2,8,2,2,3,36,36,0,9
25,2,8,2,6,3,36,36,0,4
30,3,13,5,12,4,36,36,1,9
28,2,10,5,-2,4,55,36,0,4
49,2,5,2,2,3,47,36,0,4
53,3,13,-1,8,4,63,36,0,4
56,2,4,5,13,4,47,36,1,7
30,2,13,2,8,3,36,29,0,9
25,2,8,5,10,4,36,36,1,4
40,3,16,2,8,3,49,36,0,4
23,2,10,5,12,4,36,36,0,7
11,2,10,5,-2,4,25,36,1,9
48,2,15,2,2,3,36,36,0,0
24,0,13,5,8,4,36,36,0,6
38,2,8,5,6,4,55,36,1,9
47,3,8,2,4,3,27,36,1,7
49,3,13,2,10,3,52,36,0,4
44,2,16,2,8,3,46,36,0,9
28,2,11,2,13,3,52,36,0,9
41,2,10,2,2,3,55,36,0,9
54,3,8,2,2,3,55,36,0,9
35,2,10,2,10,3,49,36,0,7
30,2,10,2,2,3,46,36,0,7
47,3,17,7,8,4,36,36,0,4
15,2,10,5,7,4,23,36,0,4
34,2,15,5,10,4,55,36,0,9
46,0,10,-1,4,4,36,36,0,7
7,3,6,5,5,4,17,36,0,2
32,2,13,2,4,3,36,36,0,9
7,2,6,5,7,4,20,36,0,3
31,2,10,2,-2,3,36,31,1,9
30,2,8,5,2,4,46,36,0,9
28,0,8,5,9,4,47,36,0,4
33,3,8,2,2,3,36,36,1,9
39,2,15,5,4,4,28,29,1,9
24,2,8,5,7,4,26,36,0,9
51,0,10,2,5,3,36,36,1,9
35,0,13,5,8,4,49,36,0,4
17,2,10,5,6,4,26,36,0,9
56,2,8,2,2,3,28,36,0,9
32,2,8,2,6,3,36,36,1,9
32,2,8,5,7,4,36,36,0,4
28,2,13,5,8,4,36,36,1,9
47,0,8,2,4,3,43,36,1,4
40,2,13,2,4,3,46,36,0,2
24,2,11,2,-2,3,46,36,0,2
40,2,13,2,12,3,36,36,0,9
24,2,11,5,12,4,36,36,1,6
52,2,8,2,13,3,36,36,0,4
28,4,13,2,4,3,36,36,0,4
18,2,13,5,8,5,23,36,0,4
54,3,5,2,2,3,36,36,0,9
20,2,8,5,13,5,49,36,0,4
51,2,8,2,13,3,36,36,0,9
50,3,17,2,4,3,59,36,0,9
48,2,13,5,10,4,52,36,0,9
52,2,8,5,10,4,29,36,0,9
20,0,11,-1,12,4,52,36,1,6
51,2,10,5,12,4,36,36,1,9
39,2,11,2,4,3,49,36,1,4
9,2,6,5,6,4,26,36,1,9
46,2,11,2,12,3,49,36,0,9
39,3,13,2,12,3,36,36,0,9
57,2,8,2,6,3,36,36,0,9
44,2,15,5,12,4,28,36,0,7
64,3,6,5,5,5,23,36,1,9
31,2,8,2,2,3,47,36,0,4
32,2,13,2,8,3,47,36,0,4
15,2,8,5,13,4,26,36,1,4
41,2,10,-1,4,4,46,36,0,4
18,2,10,5,-2,4,36,36,1,9
60,2,8,2,13,3,46,36,0,2
46,2,11,5,-2,5,36,36,0,4
31,2,8,2,4,3,55,36,0,9
22,3,13,5,10,4,36,36,1,9
67,3,8,2,4,3,36,36,1,9
52,2,8,2,6,3,36,36,0,9
22,2,13,5,4,4,49,36,0,4
59,2,8,8,5,4,17,36,0,9
7,2,6,5,10,4,23,36,0,9
52,2,8,2,2,3,36,36,0,4
41,2,10,-1,8,4,36,36,0,9
30,2,8,5,2,4,21,36,0,9
44,3,8,2,10,3,49,36,0,2
46,4,17,-1,8,4,49,36,0,9
33,2,8,5,13,4,36,36,0,4
55,2,8,2,7,3,36,36,0,9
41,2,8,2,5,3,36,31,0,9
46,2,6,2,4,3,49,36,1,9
32,2,8,2,6,3,36,36,0,1
17,2,5,5,6,4,36,36,1,9
38,2,10,2,5,3,49,36,1,9
42,2,13,2,4,3,36,36,0,1
22,2,10,5,13,4,49,36,0,9
39,2,13,2,4,3,55,36,0,4
25,2,8,2,2,3,59,36,1,9
37,2,13,2,10,3,49,36,1,9
34,3,13,5,4,4,36,36,0,9
40,3,16,2,5,3,58,36,1,6
39,2,15,2,8,3,36,36,1,2
29,2,13,2,4,3,46,36,0,9
27,2,8,2,12,3,36,36,0,9
34,2,8,5,10,4,46,36,0,4
36,2,10,-1,6,4,51,36,0,4
36,3,8,-1,6,4,17,36,0,4
50,2,10,2,12,3,36,36,0,9
20,2,10,5,10,4,25,36,0,9
31,2,8,2,6,3,36,36,0,9
48,2,15,2,4,3,55,36,0,4
40,2,8,-1,6,4,52,36,0,9
48,0,3,2,7,3,36,36,0,9
36,2,6,2,6,3,45,36,1,4
39,2,16,2,8,3,36,36,0,9
30,2,13,5,10,4,36,36,0,7
37,3,8,2,4,3,36,36,0,9
15,2,8,2,6,3,36,36,0,9
41,2,10,-1,2,5,28,36,0,9
42,3,10,-1,5,5,36,36,0,9
41,2,15,2,4,3,43,36,0,9
42,3,10,2,10,3,59,36,0,9
40,2,12,2,4,3,36,36,0,7
31,2,13,2,2,3,59,31,0,7
27,2,8,2,13,3,36,36,0,9
34,3,10,2,10,3,55,36,1,9
52,3,8,2,2,3,23,36,1,9
63,2,13,8,4,4,36,36,0,9
36,2,8,2,2,3,36,36,0,2
42,2,8,5,13,5,59,36,0,9
39,4,15,2,8,3,28,36,0,9
33,2,8,-1,6,4,36,36,0,9
56,3,8,5,5,5,43,36,0,9
42,2,8,-1,2,5,36,36,1,9
44,2,13,5,10,4,36,36,0,9
39,2,11,2,6,3,36,36,1,9
45,2,8,2,-2,3,49,36,0,8
34,2,8,5,4,4,46,36,1,9
43,2,15,-1,8,4,46,36,0,4
39,2,10,2,6,3,36,36,0,9
33,2,11,5,13,4,36,36,0,4
47,2,8,2,6,3,36,36,1,9
37,2,15,2,8,3,25,36,0,9
39,2,10,5,2,4,49,30,1,9
46,0,15,2,8,3,28,36,0,9
33,2,10,2,7,3,36,36,0,9
25,2,10,5,10,4,36,36,0,9
36,2,8,5,7,4,62,36,0,4
20,2,10,2,7,3,36,36,1,4
35,2,13,2,8,3,49,36,0,4
57,2,8,2,6,3,36,36,0,4
49,3,10,2,10,3,52,36,0,9
31,2,13,2,10,3,36,36,1,9
46,0,15,2,8,3,36,36,0,7
43,2,8,2,2,3,47,36,0,7
41,3,8,2,4,3,28,36,0,4
57,2,8,2,6,3,36,36,0,4
51,2,8,2,7,3,27,31,0,9
46,2,10,2,10,3,63,36,0,9
37,2,10,5,7,4,36,36,0,9
35,2,6,2,13,3,36,36,0,4
29,2,13,2,4,3,49,36,0,9
37,2,8,2,2,3,36,36,0,4
54,3,8,2,5,3,55,36,0,4
39,0,10,2,9,3,36,36,0,4
29,2,11,2,13,3,36,36,0,9
31,2,8,2,9,3,36,36,1,4
28,2,13,5,4,4,28,36,0,4
40,2,10,2,4,3,51,36,0,4
39,0,12,2,8,3,36,36,1,4
42,3,13,5,10,4,49,36,0,9
33,2,8,-1,2,4,36,36,0,9
17,2,10,5,-2,4,36,36,0,9
58,2,5,2,6,3,36,36,0,4
38,3,5,2,4,3,36,31,1,9
30,2,13,5,8,4,47,36,1,9
28,2,8,5,6,4,25,36,0,9
39,2,13,2,2,3,36,36,0,4
39,2,11,2,13,3,52,36,1,9
34,3,15,2,10,3,46,31,0,8
36,4,13,5,-2,4,29,36,1,9
35,2,13,2,12,3,36,36,0,9
34,2,8,2,13,3,49,36,0,9
39,3,10,-1,7,5,46,36,0,9
30,2,10,2,4,3,49,30,0,2
25,2,8,2,2,3,51,36,0,2
39,2,3,2,2,3,28,31,0,4
52,3,10,2,10,3,55,36,0,9
44,2,8,2,6,3,49,36,1,9
41,4,8,2,9,3,36,36,0,9
33,2,10,2,5,3,51,31,0,4
15,2,8,5,6,4,25,36,0,7
48,2,8,8,13,5,36,36,0,4
67,3,16,2,8,3,36,36,0,9
15,2,11,5,7,4,26,36,1,4
45,2,8,2,7,3,36,36,0,9
35,2,13,2,8,3,36,36,0,4
31,2,8,2,-2,3,36,36,0,9
42,2,8,2,2,3,36,36,0,9
61,2,8,2,2,3,26,36,0,9
27,2,13,2,12,3,36,36,1,9
29,0,13,2,8,3,49,36,0,4
42,2,13,5,7,4,36,36,1,4
37,2,13,2,10,3,43,36,1,9
42,3,10,2,10,3,55,36,0,7
51,2,17,2,8,3,46,36,0,9
15,2,10,5,7,4,20,36,0,4
37,2,16,2,8,3,36,36,0,9
50,2,10,2,2,3,36,36,0,4
35,2,13,2,8,3,55,36,0,9
40,3,10,2,5,3,55,36,1,9
67,3,16,2,8,3,28,36,0,9
44,2,13,2,8,3,36,36,0,9
41,2,8,2,2,3,46,36,0,2
34,2,15,5,8,4,46,36,0,5
61,3,8,2,4,3,52,36,0,9
53,2,8,2,10,3,49,36,0,2
29,2,8,2,2,3,36,36,1,9
50,2,8,2,13,3,47,36,1,9
18,3,10,5,2,4,28,36,1,4
47,3,10,2,2,3,28,36,1,6
42,0,13,-1,9,4,36,36,0,4
25,2,10,2,7,3,36,36,0,7
44,2,13,2,10,3,36,36,0,9
63,2,13,2,9,3,17,36,0,9
40,2,8,2,10,3,36,36,0,7
49,2,8,5,10,4,49,36,0,9
45,3,13,2,10,3,49,36,0,9
53,2,5,2,7,3,36,36,0,4
38,2,8,2,13,3,58,36,0,4
35,2,8,2,6,3,36,36,0,9
24,2,3,2,2,3,49,36,0,9
17,2,10,5,7,4,52,36,1,9
18,2,8,2,2,3,36,36,1,4
29,2,11,2,4,3,47,36,0,9
41,2,8,2,10,3,46,36,0,9
43,0,13,2,4,3,36,36,0,4
31,2,10,2,6,3,49,29,0,4
39,4,13,2,8,3,36,36,0,9
25,2,8,5,10,4,49,36,0,9
52,2,10,2,13,3,25,36,0,9
38,2,8,2,-2,3,36,36,0,4
23,2,8,5,6,4,36,36,0,9
38,2,13,5,8,4,36,36,0,9
39,2,8,2,4,3,36,36,0,9
37,4,10,2,4,3,36,36,0,4
45,2,10,-1,-2,4,36,36,0,2
55,4,8,5,-2,4,36,36,0,9
57,3,13,2,4,3,49,30,0,4
33,2,10,5,8,4,49,36,1,9
38,2,10,2,2,3,36,36,0,4
30,2,13,5,12,4,29,36,0,9
35,2,8,5,10,4,49,36,0,4
49,2,8,2,2,3,36,36,0,4
15,2,5,5,6,4,36,36,0,9
42,3,8,2,13,3,52,36,0,4
61,2,15,2,10,3,36,36,0,9
23,2,10,7,-2,4,36,36,0,9
20,2,13,5,10,4,49,36,0,4
11,2,10,5,6,4,49,36,0,9
36,3,8,2,4,3,55,36,0,9
43,2,10,5,6,4,46,36,0,9
39,3,10,-1,4,4,59,30,0,4
7,2,6,5,7,4,17,36,0,4
51,3,15,2,10,3,49,36,0,9
48,2,5,2,6,3,46,36,0,9
52,2,12,2,12,3,25,36,0,2
30,2,8,2,2,3,49,36,0,4
29,2,6,-1,10,4,36,36,0,9
38,2,13,2,8,3,36,36,0,9
49,3,5,2,4,3,55,36,1,9
31,2,8,5,7,4,51,36,0,9
43,3,13,2,5,3,28,36,1,9
27,2,13,5,7,4,43,31,1,9
45,2,8,2,10,3,36,36,1,9
47,3,8,2,2,3,55,36,0,7
35,2,8,2,4,3,49,36,1,9
52,3,8,2,7,3,55,36,1,9
47,2,11,2,13,3,46,36,0,4
43,3,10,2,10,3,36,36,1,9
42,3,8,2,4,3,58,36,0,4
48,2,10,2,4,3,46,36,0,9
42,3,10,2,4,3,49,36,0,9
23,2,8,-1,2,4,49,36,0,3
23,2,8,-1,2,4,46,36,0,9
46,3,8,2,4,3,36,36,0,7
38,2,8,2,13,3,36,36,1,4
34,2,10,2,2,3,46,36,1,9
22,2,11,5,9,4,55,36,0,9
57,2,16,2,13,3,17,36,0,2
32,3,10,5,7,4,28,36,0,9
50,3,8,2,10,3,36,36,0,4
24,2,8,5,2,4,25,36,0,9
30,2,5,2,5,3,36,31,0,9
29,2,8,5,-2,5,43,36,0,4
31,2,10,2,10,3,47,36,0,9
43,2,8,2,-2,3,36,36,0,9
50,4,8,2,-2,3,28,36,0,4
27,3,6,2,2,3,49,36,0,4
35,3,10,2,4,3,52,36,0,9
36,3,13,2,4,3,63,36,0,9
15,2,10,5,7,4,46,36,0,9
60,3,13,2,4,3,52,36,0,9
31,2,12,2,2,3,43,36,0,4
54,4,8,2,4,3,36,36,0,4
40,2,8,2,10,3,49,36,0,2
55,3,13,2,4,3,36,29,1,2
44,2,8,2,-2,3,52,36,0,4
23,2,13,5,4,4,36,36,0,9
45,0,13,2,9,3,36,36,0,4
49,2,13,2,4,3,49,36,0,9
39,2,5,2,6,3,36,36,0,9
58,2,16,2,8,3,59,36,1,9
38,0,8,7,9,4,36,36,1,9
55,0,10,2,2,3,36,36,1,9
25,2,13,2,2,3,36,36,0,5
37,2,13,2,-2,3,36,36,0,9
39,2,10,2,2,3,49,36,0,4
7,2,5,5,6,4,25,36,0,9
43,2,10,2,2,3,36,36,0,9
28,2,10,2,5,3,36,36,0,9
11,2,10,5,6,4,36,36,0,9
49,2,11,2,-2,3,36,36,0,9
22,4,10,5,12,4,49,36,1,9
28,2,13,2,10,3,49,36,0,4
38,2,8,-1,-2,4,36,36,1,9
46,3,8,2,5,3,49,36,0,4
39,2,10,2,2,3,46,36,0,4
48,2,10,-1,4,5,46,31,0,9
61,2,10,2,9,3,20,36,1,9
37,3,13,2,7,3,17,36,0,9
22,2,13,5,10,4,49,36,0,9
29,2,6,2,2,3,46,36,0,9
63,2,8,2,-2,3,28,36,0,4
51,2,8,2,6,3,36,36,0,9
24,2,13,5,-2,4,26,36,0,9
44,2,16,2,8,3,55,36,1,9
46,3,10,2,10,3,59,36,0,9
42,2,10,2,4,3,36,36,1,9
39,4,12,2,-2,3,36,36,1,9
25,2,3,5,5,4,28,31,0,4
51,2,8,2,6,3,49,36,0,9
29,2,8,2,10,3,36,36,1,9
34,2,13,2,4,3,52,36,0,9
11,2,10,5,6,4,23,36,0,4
35,3,5,2,2,3,26,36,0,9
24,3,8,5,10,4,36,36,0,9
33,0,8,2,9,3,36,36,0,4
42,2,13,2,8,3,49,30,0,9
45,2,8,2,2,3,47,36,0,2
9,2,10,5,10,4,20,36,1,9
52,3,5,2,2,3,21,36,0,5
46,0,8,2,2,3,36,36,0,7
41,2,13,5,8,4,36,36,0,4
47,3,10,2,10,3,55,36,0,4
49,2,8,2,-2,3,36,36,0,9
44,2,16,2,8,3,55,36,0,9
42,2,12,2,10,3,36,36,0,4
41,2,10,5,4,5,49,36,0,9
48,2,4,2,2,3,36,36,0,7
22,2,10,5,2,4,36,36,0,9
25,0,10,2,2,3,49,36,0,9
41,2,13,2,4,3,55,36,1,9
36,2,8,2,4,3,46,36,0,4
36,2,8,2,4,3,49,36,0,2
42,2,10,2,10,3,49,36,0,2
34,2,10,2,6,3,36,36,0,9
51,2,15,2,8,3,55,36,0,9
46,2,6,2,6,3,30,36,0,7
37,2,13,2,10,3,36,36,0,9
34,2,13,2,10,3,46,36,1,9
37,2,8,2,13,3,46,36,1,9
48,0,8,2,9,3,59,36,0,2
37,2,13,-1,10,4,47,36,0,2
39,0,10,2,4,3,43,36,1,9
42,2,10,-1,2,4,36,36,1,2
52,2,8,2,2,3,36,36,0,9
28,2,8,-1,10,4,46,36,0,4
22,2,15,5,4,4,63,36,0,9
25,2,11,5,10,4,49,36,0,9
60,3,13,2,4,3,28,36,1,9
24,2,13,5,2,4,36,36,0,9
53,0,8,2,13,3,61,36,1,9
29,2,13,2,-2,3,36,36,0,9
41,3,10,2,2,3,55,36,1,9
37,2,8,-1,13,4,55,36,0,4
39,3,8,5,5,4,59,36,1,9
31,2,6,2,6,3,36,36,0,9
28,2,8,4,9,4,36,36,0,9
47,2,10,2,4,3,49,36,1,6
30,2,5,2,6,3,36,36,0,4
20,2,6,2,6,3,36,36,0,4
36,2,8,2,4,3,36,36,0,1
29,0,5,2,12,3,36,36,0,9
32,2,8,2,10,3,36,36,1,9
31,2,13,5,-2,4,36,36,1,7
47,0,8,2,-2,3,36,36,0,9
39,2,8,5,4,4,36,36,0,9
47,4,15,5,8,4,29,36,0,9
55,2,6,2,6,3,36,36,0,9
31,2,8,2,10,3,47,36,1,7
67,0,4,2,9,3,17,36,0,9
49,3,8,-1,4,5,29,36,0,9
34,2,11,2,4,3,49,36,0,9
48,2,13,2,13,3,52,36,1,9
44,0,8,2,2,3,36,36,1,9
48,2,8,2,13,3,63,36,0,4
48,2,13,-1,4,5,36,36,0,9
20,2,10,5,2,4,45,36,0,9
33,0,10,2,13,3,36,36,0,9
22,2,11,2,2,3,36,36,0,9
31,3,8,2,2,3,46,36,0,9
17,2,8,2,6,3,36,36,1,9
24,2,8,5,7,4,25,36,1,9
57,0,13,2,4,3,49,36,0,7
44,2,5,-1,7,4,25,36,0,4
31,4,13,5,-2,4,29,36,0,4
17,2,10,5,7,4,17,36,0,9
22,2,8,5,7,5,36,29,0,9
40,2,13,2,12,3,36,36,0,9
25,0,10,5,4,5,36,36,0,2
64,3,8,2,5,3,46,36,0,9
24,2,8,-1,7,4,36,36,0,4
40,0,13,7,4,4,46,36,1,9
43,2,13,2,10,3,52,36,1,9
23,2,8,2,6,3,46,36,0,4
20,2,13,5,8,4,49,36,0,4
30,2,8,5,13,4,49,36,0,9
38,2,10,2,2,3,49,36,0,4
24,2,5,2,13,3,28,36,0,9
35,2,5,2,13,3,49,36,1,4
37,2,6,2,2,3,46,36,1,4
38,2,8,5,6,5,47,36,0,7
38,2,3,2,2,3,46,31,0,7
39,3,10,-1,2,4,36,36,0,9
40,0,15,2,4,3,55,36,0,9
23,0,13,5,8,4,28,36,0,9
42,2,10,2,12,3,21,36,0,2
29,2,13,5,4,4,52,36,0,9
29,2,13,5,10,4,47,36,0,4
53,2,15,5,8,4,63,36,0,2
41,2,10,-1,-2,4,47,36,0,9
47,4,13,2,4,3,36,29,0,4
52,2,5,2,10,3,36,36,1,9
36,2,15,2,4,3,55,36,0,9
17,2,8,2,6,3,36,36,0,9
62,2,5,2,9,3,36,36,0,9
64,2,8,2,10,3,36,36,1,9
31,2,8,5,-2,4,29,36,1,9
47,2,15,2,8,3,46,36,0,4
46,2,13,2,10,3,49,36,0,4
27,2,13,5,13,5,23,36,0,4
17,2,10,5,10,4,26,36,0,1
52,2,5,2,2,3,36,36,0,9
29,2,8,2,7,3,52,30,0,4
46,3,6,2,5,3,49,36,0,9
46,0,8,2,-2,3,36,36,0,2
35,2,8,2,2,3,36,36,0,9
28,2,8,5,6,4,47,36,0,2
51,3,10,2,10,3,46,36,1,9
33,2,8,2,2,3,49,36,0,4
24,2,8,5,6,4,36,36,0,9
45,2,10,5,10,4,59,36,1,4
42,2,10,-1,6,4,49,36,0,9
46,2,8,2,10,3,55,36,0,9
48,4,8,-1,2,5,29,36,1,4
34,2,8,5,2,5,28,36,1,9
62,3,8,2,5,3,36,36,0,2
38,2,13,7,10,4,49,36,0,7
22,2,4,2,2,3,29,36,0,9
33,2,15,5,8,4,55,36,1,9
53,0,8,5,-2,4,36,36,0,9
20,2,6,5,2,4,36,36,0,9
35,2,17,5,8,4,36,29,0,9
45,2,11,2,6,3,36,36,0,9
35,2,10,2,4,3,36,36,0,9
25,3,13,2,4,3,55,36,1,9
50,2,13,-1,4,4,59,36,0,4
50,2,10,5,2,4,36,36,1,4
27,2,8,2,2,3,43,36,0,7
36,4,11,5,8,4,36,36,0,4
11,2,8,5,6,4,26,36,1,4
33,2,10,-1,4,4,45,36,0,9
43,2,13,5,8,4,47,36,1,9
34,2,6,2,5,3,36,36,1,9
23,3,10,5,6,4,36,36,0,9
45,2,10,2,4,3,46,36,0,4
33,2,13,2,4,3,36,36,0,9
40,2,8,-1,6,4,46,36,0,4
36,2,15,2,4,3,55,36,0,9
23,2,8,5,-2,4,29,36,0,9
49,2,10,2,8,3,46,36,1,4
49,2,11,2,2,3,36,36,0,9
41,3,10,2,10,3,52,36,0,9
54,0,8,2,5,3,36,36,0,4
62,2,10,2,10,3,36,36,1,9
29,2,8,2,9,3,55,36,0,9
23,2,13,5,12,4,36,36,1,9
22,2,8,5,10,4,46,36,0,9
34,2,8,5,2,4,59,36,1,3
45,4,10,2,8,3,49,36,0,2
44,2,13,2,4,3,49,36,0,9
33,2,8,2,13,3,36,31,0,9
23,3,8,2,2,3,36,36,1,9
54,2,8,2,6,3,36,36,0,9
30,4,13,-1,8,4,36,36,0,4
29,2,10,5,-2,4,47,36,1,9
45,3,3,2,10,3,52,30,0,7
7,2,6,5,2,4,21,36,0,9
45,2,8,2,10,3,36,36,0,7
31,3,11,-1,10,5,49,36,1,9
39,2,8,2,6,3,36,36,1,9
56,2,10,2,2,3,46,36,0,9
51,3,13,2,4,3,46,36,0,7
39,3,15,-1,10,5,17,36,0,9
34,3,4,2,5,3,62,36,0,4
44,2,8,-1,2,4,36,36,0,4
45,3,15,-1,8,4,36,36,1,9
22,2,13,5,6,4,58,36,1,9
28,2,10,5,10,4,26,36,1,9
38,2,8,2,6,3,36,36,0,9
61,2,11,2,5,3,55,36,0,4
40,2,8,2,6,3,36,36,0,9
