Age,Workclass,Education,Education_Num,Marital-status,Occupation,Relationship,Hours/week,Native_Country,Sex_Race
31,2,10,9,2,7,5,32,37,4
31,2,15,11,1,2,3,43,27,8
31,2,10,9,3,4,3,56,37,9
31,2,15,11,2,11,5,43,37,4
31,2,4,6,5,7,2,55,37,9
31,1,15,11,3,2,2,43,37,9
31,2,10,9,3,11,3,27,37,9
31,2,10,9,3,5,2,63,37,9
31,2,8,14,3,9,2,63,37,9
31,2,15,11,3,2,3,32,37,9
31,2,7,12,3,2,3,43,37,4
31,0,8,14,3,4,2,43,37,9
31,4,6,13,3,2,3,56,37,4
31,2,7,12,3,7,2,43,37,2
31,2,10,9,3,11,3,43,37,9
31,2,8,14,3,11,2,58,37,2
31,2,15,11,3,13,2,58,37,9
31,2,15,11,3,7,3,43,37,9
31,2,10,9,5,7,3,43,37,2
31,2,15,11,5,13,3,43,37,9
31,2,2,5,3,2,3,43,37,4
31,2,10,9,3,11,3,62,37,9
31,4,6,13,5,7,3,43,37,9
31,4,10,9,3,2,2,34,37,4
31,2,15,11,1,2,3,43,37,9
31,2,15,11,3,4,2,43,37,4
31,2,10,9,3,11,3,26,37,9
31,2,8,14,5,11,3,43,37,9
42,2,8,14,2,4,5,58,37,4
42,2,15,11,1,2,2,43,37,6
42,2,12,16,1,13,3,32,37,4
42,0,10,9,5,7,2,43,37,4
42,2,10,9,3,2,2,43,28,9
42,2,6,13,5,2,3,43,37,4
42,3,5,4,2,7,5,58,37,7
42,2,15,11,3,15,3,43,37,9
42,4,15,11,1,2,3,43,37,9
42,2,10,9,1,5,2,43,37,7
42,2,10,9,7,4,2,32,37,9
42,4,10,9,1,2,2,27,37,4
42,4,15,11,5,9,3,43,37,9
42,1,8,14,1,9,3,29,37,4
42,2,15,11,5,5,3,43,37,9
42,2,15,11,5,7,3,25,24,4
42,0,7,12,1,2,3,43,37,9
42,2,10,9,5,13,2,43,37,2
42,2,10,9,2,7,5,32,37,4
42,4,6,13,1,13,2,43,37,9
42,2,6,13,5,11,2,43,37,9
42,2,15,11,1,2,2,43,37,9
42,2,10,9,1,4,2,58,37,4
42,2,15,11,7,11,3,43,37,9
42,2,10,9,3,4,3,27,37,9
42,0,10,9,5,2,3,43,37,4
42,2,10,9,3,7,3,27,24,4
42,2,15,11,3,5,3,43,37,2
42,2,6,4,1,5,2,56,37,1
42,2,15,11,1,2,2,35,37,9
42,3,15,11,5,7,3,58,37,4
42,4,8,14,1,2,3,43,37,4
42,2,8,14,2,4,5,32,37,9
42,0,10,9,1,2,3,43,37,7
30,2,8,14,3,4,2,43,37,4
30,2,10,9,3,11,3,27,37,4
30,2,8,14,2,2,5,43,37,9
30,2,15,11,3,4,3,43,37,9
30,0,13,17,3,9,2,43,37,9
30,3,15,11,5,9,3,43,37,4
30,2,15,11,1,2,3,43,37,4
30,2,15,11,1,2,3,43,37,9
30,2,6,13,3,5,3,43,37,2
30,1,10,9,3,10,3,43,37,9
30,2,15,11,1,2,3,34,37,9
30,2,15,11,3,2,3,43,37,7
30,1,15,11,5,2,3,43,37,9
30,0,15,11,3,2,3,43,37,9
30,2,6,13,3,11,3,43,37,2
30,2,10,9,3,5,3,32,37,9
30,2,10,9,2,7,3,35,37,9
30,2,10,9,1,2,3,43,37,9
30,2,15,11,5,11,3,20,37,9
30,2,15,11,3,7,3,43,37,2
30,4,10,9,3,7,2,43,37,9
30,2,10,9,1,2,3,65,37,9
30,4,12,16,3,2,2,23,37,9
30,1,8,14,3,11,3,21,37,6
30,4,10,9,3,11,3,43,37,9
30,2,15,11,3,5,3,43,37,9
30,2,6,13,3,9,2,27,37,7
30,2,6,13,2,11,2,43,37,4
30,4,8,14,3,2,3,43,37,2
30,2,6,13,3,9,3,33,37,4
30,2,15,11,2,13,5,56,37,4
30,2,8,14,3,9,2,43,37,9
30,2,15,11,5,2,3,43,37,9
30,2,15,11,3,11,2,32,37,9
30,2,15,11,3,4,3,43,37,9
30,1,15,11,3,15,3,43,37,4
30,2,10,9,3,4,2,56,37,9
30,2,10,9,5,2,3,43,37,4
20,2,15,11,3,4,2,43,37,9
20,2,10,9,3,4,3,23,37,9
20,2,15,11,1,11,3,43,37,4
20,2,10,9,3,2,3,43,37,9
20,2,10,9,3,2,3,43,37,9
20,2,6,13,3,11,3,33,37,4
20,2,15,11,3,2,3,43,37,6
20,2,5,4,3,5,3,43,23,9
20,2,15,11,3,2,3,43,37,9
20,2,15,11,3,5,3,43,37,9
20,2,10,9,3,11,2,27,26,4
20,2,15,11,3,2,3,27,37,4
20,2,15,11,3,11,2,29,37,4
20,2,8,14,3,7,3,29,37,4
20,2,8,14,3,9,3,43,37,2
20,2,10,9,3,5,3,20,37,9
20,2,10,9,3,5,3,43,37,9
20,2,15,11,3,5,2,43,37,9
20,2,10,9,3,2,3,43,37,9
20,2,15,11,3,11,2,23,37,9
20,1,8,14,3,9,2,43,37,9
20,2,15,11,3,11,3,23,37,9
20,2,8,14,3,2,3,29,37,9
20,2,8,14,3,4,2,43,37,9
20,2,15,11,3,5,3,43,37,4
20,2,15,11,3,5,3,23,26,9
20,2,10,9,3,5,3,43,37,4
20,0,4,6,3,2,3,43,37,9
20,2,15,11,3,11,3,16,37,4
20,1,6,13,3,10,3,32,37,9
20,2,8,14,3,2,3,43,37,9
34,0,7,12,1,2,3,43,37,9
34,4,8,14,5,4,3,35,37,4
34,2,10,9,1,2,3,43,37,9
34,2,10,9,3,5,3,43,37,9
34,2,15,11,1,7,3,43,37,9
34,2,15,11,3,7,3,32,37,9
34,2,12,16,1,4,3,43,37,9
34,2,4,6,1,11,3,34,37,9
34,4,12,16,3,9,3,26,37,4
34,2,10,9,2,4,5,66,37,9
34,2,10,9,5,13,3,32,37,6
34,2,7,12,1,13,3,43,37,9
34,4,5,7,3,2,2,43,37,9
34,1,13,3,3,2,3,27,37,9
34,2,10,9,2,5,5,43,37,9
34,2,10,9,1,7,3,43,37,9
34,2,10,9,2,4,5,43,37,9
34,2,10,9,3,5,3,57,37,4
34,2,8,14,5,9,3,35,37,9
34,2,10,9,2,11,5,43,37,9
34,2,10,9,1,4,3,43,37,9
34,2,6,4,3,11,3,32,37,9
34,4,10,9,3,7,3,43,37,9
34,1,10,9,3,9,3,32,37,4
34,2,15,11,3,11,2,32,37,9
34,2,6,13,1,11,3,56,37,9
34,2,15,11,5,13,3,43,37,9
34,2,5,7,1,7,3,43,37,9
34,2,10,9,3,7,3,43,37,4
34,4,8,14,3,2,2,43,37,9
34,2,10,9,3,7,3,43,37,9
34,2,15,11,2,10,2,27,24,2
34,2,15,11,5,7,3,34,37,9
34,2,10,9,5,11,3,23,37,9
34,2,15,11,3,2,3,43,37,9
34,2,10,9,1,5,3,43,37,9
34,2,2,5,2,7,3,29,37,9
24,2,8,14,3,11,2,43,37,9
24,1,8,14,3,2,2,43,37,9
24,2,10,9,3,2,3,43,37,9
24,2,10,9,3,5,3,27,37,4
24,1,15,11,3,2,3,32,37,9
24,2,2,5,2,10,5,58,37,9
24,2,10,9,3,5,2,43,37,4
24,2,8,14,3,2,3,43,37,9
24,2,6,13,1,2,2,56,37,4
24,2,10,9,3,2,2,43,37,9
24,2,6,13,3,2,2,43,37,4
24,2,10,9,3,5,2,55,37,9
24,2,8,14,3,7,2,26,26,9
24,1,8,14,3,9,2,43,37,9
24,2,8,14,3,2,3,43,37,9
24,4,8,14,3,10,2,43,37,9
24,2,15,11,3,2,2,43,26,9
24,2,10,9,2,7,5,43,37,4
24,2,15,11,3,11,3,29,37,9
24,2,15,11,2,2,5,61,37,4
24,2,8,14,2,9,5,43,37,9
24,1,15,11,3,2,3,43,37,9
24,2,10,9,3,7,2,32,37,4
24,2,8,14,3,4,2,35,37,9
24,1,10,9,3,2,2,43,37,9
24,2,10,9,3,13,2,32,37,4
24,1,8,14,3,2,3,43,37,1
24,2,10,9,3,7,2,43,37,9
24,2,15,11,2,2,3,23,37,6
24,2,15,11,3,2,3,43,37,9
24,2,10,9,3,2,3,30,37,9
24,2,15,11,3,13,2,58,37,4
24,2,10,9,3,7,2,43,37,7
24,2,8,14,2,2,5,35,37,9
24,2,10,9,3,2,3,43,27,4
24,2,4,6,3,5,3,43,37,9
24,2,4,6,3,7,3,30,37,4
24,2,10,9,5,5,3,43,37,9
24,2,15,11,2,4,5,43,37,6
24,2,7,12,3,13,3,43,37,9
32,2,7,12,1,7,3,43,37,9
32,0,10,9,3,4,2,43,37,6
32,2,10,9,3,7,3,16,37,9
32,2,15,11,3,2,3,43,37,9
32,2,15,11,5,13,3,43,37,7
32,2,10,9,2,2,5,43,37,9
32,2,10,9,3,11,3,56,37,4
32,2,10,9,3,7,3,43,37,9
32,4,15,11,3,2,2,43,37,9
32,2,10,9,2,5,5,43,37,9
32,2,10,9,1,11,3,29,37,2
32,1,10,9,3,2,2,34,37,9
32,2,10,9,3,5,3,43,37,9
32,1,15,11,3,7,3,43,37,9
32,3,8,14,1,4,3,29,37,4
32,2,10,9,3,5,3,23,37,4
32,2,15,11,5,4,3,43,37,9
32,2,15,11,2,2,5,43,37,7
32,2,15,11,1,2,3,54,37,4
32,2,8,14,3,9,2,43,37,4
32,4,15,11,2,9,5,43,37,9
32,2,10,9,3,7,2,43,37,9
32,0,10,9,3,7,3,30,37,9
32,2,8,14,3,9,2,43,37,4
32,2,4,6,3,5,3,43,37,9
32,2,6,13,1,9,3,32,37,9
32,2,10,9,1,7,2,20,37,9
32,2,10,9,3,5,3,43,37,9
32,2,15,11,3,2,3,43,37,4
32,2,4,6,3,7,3,43,26,9
32,2,10,9,3,5,3,43,37,9
32,4,15,11,3,10,3,43,37,9
32,2,10,9,3,7,3,43,37,9
32,2,10,9,3,2,2,43,37,4
32,2,15,11,1,2,3,29,37,4
32,1,15,11,3,2,3,43,37,9
32,2,15,11,5,5,3,66,37,9
32,2,7,12,3,4,2,32,23,4
32,1,6,13,1,4,2,43,37,9
32,2,15,11,1,11,3,43,25,9
32,2,2,5,2,7,2,34,37,9
40,2,15,11,1,5,3,43,37,4
40,2,15,11,3,2,2,43,37,9
40,2,10,9,5,2,3,43,37,4
40,1,10,9,3,2,2,43,37,2
40,2,15,11,2,11,5,43,27,4
40,2,2,5,2,7,5,30,37,9
40,2,10,9,7,7,3,43,37,4
40,2,10,9,5,5,3,43,37,9
40,2,10,9,5,7,3,43,37,9
40,2,10,9,5,2,3,43,26,9
40,4,15,11,1,2,3,32,37,9
40,2,4,6,1,7,3,33,37,4
40,2,10,9,1,5,3,43,37,9
40,2,15,11,1,9,3,35,37,4
40,2,10,9,3,5,3,43,37,4
40,2,6,4,3,5,3,43,24,9
40,0,8,14,1,9,2,43,37,9
40,2,8,14,1,2,2,43,37,4
40,1,13,17,5,9,3,43,37,4
40,4,10,9,1,7,2,57,37,9
40,2,15,11,1,15,2,43,37,4
40,4,15,11,3,2,3,57,37,9
40,2,6,13,1,2,3,30,37,4
40,1,10,9,3,2,3,32,37,9
40,0,10,9,3,2,3,43,37,6
40,4,8,17,3,9,2,43,37,2
40,2,2,5,1,5,2,43,37,9
40,2,15,11,3,11,3,56,37,3
40,2,10,9,3,7,3,43,37,7
40,1,10,9,2,10,5,66,37,9
40,4,8,14,1,2,2,30,37,9
40,2,8,14,3,2,3,66,37,9
40,2,10,9,1,10,2,43,37,7
40,2,10,9,7,5,3,34,37,4
40,2,15,11,1,13,3,43,37,9
52,1,10,9,7,7,3,43,37,9
52,1,12,16,2,9,5,35,37,4
52,3,2,5,1,7,2,14,37,4
52,2,15,11,5,13,2,43,37,9
52,2,4,6,2,7,5,43,37,9
52,2,10,9,3,7,3,43,37,9
52,2,8,14,3,7,3,33,37,9
52,2,10,9,2,7,5,43,37,9
52,1,12,16,1,9,3,34,37,9
52,2,5,3,2,7,3,29,24,4
52,2,15,11,1,5,2,43,37,9
52,1,4,6,7,10,3,43,37,9
52,1,15,11,2,2,5,61,37,9
52,1,15,11,1,4,3,32,37,9
52,2,4,6,1,8,3,14,37,9
52,4,10,9,3,7,2,35,37,9
52,2,8,14,1,11,2,63,37,9
43,0,10,9,1,2,2,43,37,9
43,2,10,9,3,7,2,56,37,9
43,2,6,4,3,5,3,43,37,9
43,2,15,11,1,5,3,43,37,9
43,2,15,11,2,2,5,35,37,9
43,2,8,14,3,4,2,58,37,9
43,2,10,9,5,4,3,43,37,4
43,2,10,9,3,7,2,66,37,9
43,2,8,14,1,4,2,43,37,9
43,1,12,16,7,9,3,43,37,4
43,0,8,17,5,9,3,26,37,9
43,2,15,11,2,13,5,43,37,6
43,2,10,9,1,5,2,43,37,9
43,2,15,11,1,9,3,43,37,4
43,2,15,11,1,13,3,32,37,4
43,2,10,9,1,7,2,32,37,9
43,2,15,11,1,2,3,43,37,9
43,2,2,5,5,7,2,43,37,9
43,2,10,9,5,7,2,43,37,9
43,4,8,14,2,9,5,43,37,7
43,1,12,16,3,13,2,56,37,9
43,2,15,11,3,2,3,43,37,7
43,2,10,9,2,4,5,55,37,9
43,4,15,11,3,7,2,29,37,9
43,2,15,11,1,2,3,32,37,2
43,2,10,9,3,5,3,43,37,9
43,1,12,16,2,9,5,32,37,9
43,2,8,14,2,13,5,43,37,9
43,2,6,13,3,2,2,56,37,9
43,2,6,4,5,5,3,58,37,4
43,2,10,9,5,2,2,30,37,4
43,2,15,11,2,7,2,43,37,4
43,1,8,14,1,9,3,55,37,9
43,2,10,9,3,7,3,43,37,9
43,2,8,14,3,11,3,32,37,9
43,1,12,16,1,9,3,43,37,9
43,0,6,13,2,9,5,43,37,9
43,1,7,12,1,2,2,43,37,2
56,2,10,9,2,8,5,18,37,9
56,2,10,9,1,7,3,32,26,4
56,1,10,9,5,10,2,43,37,9
56,2,10,9,7,5,2,43,37,9
56,0,15,11,3,4,3,43,37,9
56,2,2,5,5,8,2,29,37,9
56,2,10,9,2,9,5,35,26,4
56,1,10,9,5,10,3,43,37,9
56,2,2,5,1,2,2,43,37,4
56,2,10,9,5,11,3,43,37,9
56,1,2,5,7,7,3,29,37,7
54,2,4,6,5,7,2,43,37,9
54,2,8,14,1,9,3,58,24,9
54,2,10,9,3,7,2,43,37,9
54,2,10,9,5,2,2,43,37,4
54,2,15,11,5,13,3,35,37,9
54,2,10,9,5,5,3,43,37,4
54,2,4,6,2,13,5,43,37,6
54,2,2,5,1,2,3,33,37,9
54,2,2,5,7,5,3,43,37,9
54,0,15,11,1,2,2,43,37,9
54,2,10,9,7,7,3,23,37,4
54,3,5,4,3,7,3,62,37,9
54,2,10,9,2,11,5,33,37,7
54,2,2,5,1,7,3,56,37,9
54,2,10,9,7,2,2,43,37,9
54,2,10,9,1,13,2,43,37,9
54,2,10,9,1,7,3,43,26,9
54,2,10,9,7,5,2,43,37,4
54,2,10,9,5,11,3,20,37,9
54,2,8,14,1,9,3,43,37,9
54,2,5,4,3,5,3,23,37,9
54,2,5,7,7,7,3,43,37,9
10,2,2,5,3,7,2,23,37,4
10,2,10,9,3,5,3,43,37,9
10,2,15,11,3,11,3,23,37,9
10,2,10,9,3,11,3,32,37,9
10,2,15,11,3,2,2,35,37,9
10,0,15,11,3,2,3,23,37,9
10,2,10,9,2,7,5,20,37,4
10,2,4,6,3,11,3,32,37,4
10,2,10,9,3,11,2,32,37,9
10,1,15,11,3,7,3,32,37,9
10,2,10,9,3,7,3,43,37,9
10,2,10,9,3,7,3,43,37,6
10,2,10,9,3,5,3,23,37,9
10,1,10,9,3,2,3,43,37,4
10,2,15,11,3,11,2,43,37,9
10,2,4,6,3,7,3,43,37,4
10,2,15,11,3,11,3,23,37,9
10,2,10,9,3,11,3,29,37,9
10,2,15,11,3,7,3,29,37,9
10,2,2,5,3,11,3,43,37,9
48,2,10,9,1,7,3,30,37,9
48,1,2,5,5,7,3,43,37,4
48,2,10,9,7,4,2,32,37,9
48,2,10,9,1,5,2,43,37,9
48,0,10,9,1,2,3,43,37,9
48,2,10,9,3,15,3,43,37,9
48,2,10,9,5,2,3,43,37,9
48,2,10,9,2,5,5,43,37,4
48,1,8,14,1,9,3,43,37,9
48,0,10,9,2,2,5,43,37,9
48,1,8,14,1,9,2,43,37,9
48,0,15,11,3,2,3,43,37,4
48,2,15,11,1,5,3,43,37,9
48,2,8,14,1,4,2,63,37,9
48,1,15,11,1,2,3,43,37,9
48,2,10,9,7,5,3,43,37,9
48,1,8,14,2,9,5,32,37,9
48,2,15,11,5,4,3,63,37,9
48,2,8,14,1,4,3,43,37,5
48,3,10,9,1,5,3,43,37,4
48,2,15,11,1,2,3,43,37,9
14,1,10,9,3,7,3,43,37,4
14,2,15,11,3,2,3,27,37,9
14,2,15,11,3,2,3,18,37,9
14,2,10,9,3,4,3,43,37,9
14,2,10,9,3,7,3,27,37,9
14,2,15,11,3,2,2,26,37,9
14,2,10,9,3,11,2,32,37,9
14,2,15,11,5,11,3,43,37,9
14,2,15,11,3,11,3,16,37,9
14,2,10,9,3,2,3,43,37,9
14,2,10,9,3,11,3,23,37,9
14,2,10,9,3,11,3,32,37,9
14,2,10,9,3,2,3,23,37,4
14,2,15,11,3,2,3,32,37,4
14,2,15,11,3,11,3,23,37,9
14,2,10,9,3,4,3,43,37,9
14,2,15,11,3,5,2,32,37,9
14,2,10,9,3,4,3,43,37,2
14,2,10,9,3,2,2,32,27,7
14,2,15,11,3,11,2,33,37,7
14,2,8,14,3,11,2,29,37,4
14,2,6,4,3,2,3,23,37,9
14,2,15,11,3,2,2,16,37,4
14,2,10,9,3,2,3,43,37,9
14,2,15,11,3,11,3,18,37,4
14,2,15,11,3,2,3,43,24,4
45,1,15,11,1,2,3,32,37,9
45,2,10,9,3,2,3,43,37,9
45,2,4,6,3,11,2,32,37,9
45,1,10,9,3,2,2,43,37,9
45,2,7,12,1,2,3,43,37,7
45,1,15,11,1,2,3,43,37,9
45,1,15,11,1,2,3,35,37,5
45,2,4,6,3,5,2,43,37,9
45,1,12,16,2,9,5,58,37,9
45,2,10,9,5,4,3,43,37,4
45,2,10,9,2,7,3,63,37,6
45,2,15,11,1,13,2,43,28,2
45,2,10,9,3,5,3,43,37,9
45,2,6,4,1,7,3,43,24,9
45,4,6,13,1,2,3,43,37,4
45,2,10,9,1,7,2,32,37,9
45,2,6,13,3,2,2,43,37,4
45,2,4,6,7,7,2,23,37,2
45,2,10,9,5,5,3,18,37,9
45,0,10,9,3,7,2,43,37,4
45,0,8,14,3,10,2,43,37,4
45,2,8,14,3,7,2,55,37,9
45,1,8,14,1,4,3,63,37,2
45,1,13,17,1,9,3,43,37,9
45,2,10,9,3,8,3,29,37,9
45,2,2,5,1,7,3,43,37,4
45,2,10,9,5,5,3,43,37,9
45,2,10,9,7,4,3,43,37,9
45,2,10,9,3,7,3,43,37,9
45,4,10,9,5,11,3,43,37,6
45,2,15,11,7,7,3,43,37,9
45,2,10,9,1,2,3,58,37,4
45,1,10,9,2,2,3,43,37,9
45,2,10,9,1,5,3,35,37,9
45,1,10,9,5,7,3,43,37,0
45,2,10,9,1,5,3,43,37,9
19,2,15,11,3,4,3,43,26,9
19,2,10,9,3,5,3,43,37,4
19,2,10,9,3,11,3,18,37,1
19,2,2,5,3,11,3,43,37,4
19,2,15,11,3,7,2,29,37,9
19,4,15,11,3,2,3,43,37,9
19,4,15,11,3,10,3,43,37,9
19,2,10,9,3,2,3,35,37,7
19,1,6,13,3,2,3,32,24,9
19,2,15,11,3,2,3,29,37,4
19,2,15,11,3,11,3,20,37,1
19,2,10,9,3,7,2,18,37,4
19,2,10,9,3,11,2,29,37,9
19,2,10,9,3,7,2,32,37,9
19,2,2,5,3,7,3,43,37,9
19,2,15,11,3,2,3,27,37,9
19,2,15,11,3,7,3,29,37,9
19,2,10,9,3,11,3,32,37,9
19,2,10,9,3,11,2,34,37,4
19,2,10,9,3,2,3,43,37,9
19,2,10,9,2,7,2,32,27,9
19,2,7,12,3,11,2,27,37,9
19,2,15,11,3,7,3,18,37,9
19,1,15,11,3,2,3,43,37,9
19,2,15,11,3,11,3,23,37,4
19,2,7,12,3,7,3,33,37,7
19,1,8,14,3,9,3,21,37,4
19,2,15,11,3,10,3,23,37,9
16,2,10,9,3,2,3,43,37,4
16,2,15,11,3,9,3,43,37,5
16,2,10,9,3,7,2,29,37,4
16,2,2,5,5,11,3,35,37,9
16,2,15,11,3,2,3,23,37,9
16,2,15,11,3,2,3,23,37,1
16,2,6,13,3,2,2,43,37,9
16,0,15,11,3,2,3,29,37,4
16,2,15,11,3,7,2,14,37,9
16,2,15,11,3,11,3,23,37,9
16,2,10,9,3,7,2,58,37,4
16,2,10,9,2,5,5,34,37,9
16,2,8,14,3,2,3,35,37,9
